scian_codigo,scian_nivel,scian_titulo,serio_sector,serio_nombre,evidence_type,status,priority,mapping_type,source,justification,reviewed_by,review_date,notes,crosswalk_version,scian_version,serio_version,generated_at,generated_by
531,SUBSECTOR,Servicios inmobiliarios,531,Servicios inmobiliarios,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Coincidencia directa y exacta uno a uno: el subsector SCIAN 531 ('Servicios inmobiliarios') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Servicios inmobiliarios'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
532,SUBSECTOR,Servicios de alquiler de bienes muebles,532,Servicios de alquiler de bienes muebles,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Coincidencia directa y exacta uno a uno: el subsector SCIAN 532 ('Servicios de alquiler de bienes muebles') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Servicios de alquiler de bienes muebles'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
533,SUBSECTOR,"Servicios de alquiler de marcas registradas, patentes y franquicias",533,"Servicios de alquiler de marcas registradas, patentes y franquicias",OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Coincidencia directa y exacta uno a uno: el subsector SCIAN 533 ('Servicios de alquiler de marcas registradas, patentes y franquicias') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Servicios de alquiler de marcas registradas, patentes y franquicias'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
541,SUBSECTOR,"Servicios profesionales, científicos y técnicos",541,"Servicios profesionales, científicos y técnicos",OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Coincidencia directa y exacta uno a uno: el subsector SCIAN 541 ('Servicios profesionales, científicos y técnicos') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Servicios profesionales, científicos y técnicos'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
551,SUBSECTOR,Dirección y administración de grupos empresariales o corporativos,551,Corporativos,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Coincidencia directa y exacta uno a uno: el subsector SCIAN 551 ('Dirección y administración de grupos empresariales o corporativos') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Corporativos'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
561,SUBSECTOR,Servicios de apoyo a los negocios,561,Servicios de apoyo a los negocios,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Coincidencia directa y exacta uno a uno: el subsector SCIAN 561 ('Servicios de apoyo a los negocios') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Servicios de apoyo a los negocios'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
562,SUBSECTOR,Manejo de residuos y servicios de remediación,562,Manejo de residuos y servicios de remediación,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Coincidencia directa y exacta uno a uno: el subsector SCIAN 562 ('Manejo de residuos y servicios de remediación') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Manejo de residuos y servicios de remediación'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
611,SUBSECTOR,Servicios educativos,611,Servicios educativos,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Coincidencia directa y exacta uno a uno: el subsector SCIAN 611 ('Servicios educativos') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Servicios educativos'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
621,SUBSECTOR,Servicios médicos de consulta externa y servicios relacionados,621,Servicios médicos de consulta externa y servicios relacionados,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Coincidencia directa y exacta uno a uno: el subsector SCIAN 621 ('Servicios médicos de consulta externa y servicios relacionados') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Servicios médicos de consulta externa y servicios relacionados'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
622,SUBSECTOR,Hospitales,622,Hospitales,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Coincidencia directa y exacta uno a uno: el subsector SCIAN 622 ('Hospitales') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Hospitales'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
623,SUBSECTOR,Residencias de asistencia social y para el cuidado de la salud,623,Residencias de asistencia social y para el cuidado de la salud,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Coincidencia directa y exacta uno a uno: el subsector SCIAN 623 ('Residencias de asistencia social y para el cuidado de la salud') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Residencias de asistencia social y para el cuidado de la salud'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
624,SUBSECTOR,Otros servicios de asistencia social,624,Otros servicios de asistencia social,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Coincidencia directa y exacta uno a uno: el subsector SCIAN 624 ('Otros servicios de asistencia social') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Otros servicios de asistencia social'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
711,SUBSECTOR,"Servicios artísticos, culturales y deportivos, y otros servicios relacionados",711,"Servicios artísticos, culturales y deportivos, y otros servicios relacionados",OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Coincidencia directa y exacta uno a uno: el subsector SCIAN 711 ('Servicios artísticos, culturales y deportivos, y otros servicios relacionados') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Servicios artísticos, culturales y deportivos, y otros servicios relacionados'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
712,SUBSECTOR,"Museos, sitios históricos, zoológicos y similares",712,"Museos, sitios históricos, zoológicos y similares",OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Coincidencia directa y exacta uno a uno: el subsector SCIAN 712 ('Museos, sitios históricos, zoológicos y similares') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Museos, sitios históricos, zoológicos y similares'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
713,SUBSECTOR,Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativos,713,Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativos,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Coincidencia directa y exacta uno a uno: el subsector SCIAN 713 ('Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativos') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativos'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
721,SUBSECTOR,Servicios de alojamiento temporal,721,Servicios de alojamiento temporal,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Coincidencia directa y exacta uno a uno: el subsector SCIAN 721 ('Servicios de alojamiento temporal') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Servicios de alojamiento temporal'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
722,SUBSECTOR,Servicios de preparación de alimentos y bebidas,722,Servicios de preparación de alimentos y bebidas,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Coincidencia directa y exacta uno a uno: el subsector SCIAN 722 ('Servicios de preparación de alimentos y bebidas') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Servicios de preparación de alimentos y bebidas'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
811,SUBSECTOR,Servicios de reparación y mantenimiento,811,Servicios de reparación y mantenimiento,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Coincidencia directa y exacta uno a uno: el subsector SCIAN 811 ('Servicios de reparación y mantenimiento') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Servicios de reparación y mantenimiento'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
812,SUBSECTOR,Servicios personales,812,Servicios personales,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Coincidencia directa y exacta uno a uno: el subsector SCIAN 812 ('Servicios personales') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Servicios personales'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
813,SUBSECTOR,Asociaciones y organizaciones,813,Asociaciones y organizaciones,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Coincidencia directa y exacta uno a uno: el subsector SCIAN 813 ('Asociaciones y organizaciones') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Asociaciones y organizaciones'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
814,SUBSECTOR,Hogares con empleados domésticos,814,Hogares con empleados domésticos,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Coincidencia directa y exacta uno a uno: el subsector SCIAN 814 ('Hogares con empleados domésticos') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Hogares con empleados domésticos'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
931,SUBSECTOR,"Actividades legislativas, gubernamentales y de impartición de justicia",931,"Actividades legislativas, gubernamentales y de impartición de justicia",OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Coincidencia directa y exacta uno a uno: el subsector SCIAN 931 ('Actividades legislativas, gubernamentales y de impartición de justicia') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Actividades legislativas, gubernamentales y de impartición de justicia'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
932,SUBSECTOR,Organismos internacionales y extraterritoriales,,,EXPERT,REVIEW_REQUIRED,HIGH,PARTIAL,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"La actualización SCIAN separó 'Organismos internacionales y extraterritoriales' como subsector independiente (932); en SCIAN base 2018 -que es la base del modelo SERIO- esta actividad estaba integrada en el subsector único 931 ('Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales'), que es como aparece en el catálogo de 78 sectores SERIO. Se marca para revisión por el mismo motivo de vigencia de catálogo que en los casos 513 y 516.",,,"Candidato sugerido en Crosswalk Maestro v0.1: 'Actividades legislativas, gubernamentales y de impartición de justicia' (confianza MEDIA). Requiere confirmación humana explícita (cambiar status a VERIFIED) antes de usarse en el lookup compilado.",v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
1111,RAMA,"Cultivo de semillas oleaginosas, leguminosas y cereales",111,Agricultura,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Hereda la clasificación de su subsector padre SCIAN 111 ('Agricultura'), asignado al sector SERIO 'Agricultura'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 111 ('Agricultura') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Agricultura'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
1112,RAMA,Cultivo de hortalizas,111,Agricultura,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Hereda la clasificación de su subsector padre SCIAN 111 ('Agricultura'), asignado al sector SERIO 'Agricultura'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 111 ('Agricultura') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Agricultura'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
1113,RAMA,Cultivo de frutales y nueces,111,Agricultura,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Hereda la clasificación de su subsector padre SCIAN 111 ('Agricultura'), asignado al sector SERIO 'Agricultura'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 111 ('Agricultura') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Agricultura'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
1114,RAMA,"Cultivo en invernaderos y otras estructuras agrícolas protegidas, y floricultura",111,Agricultura,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Hereda la clasificación de su subsector padre SCIAN 111 ('Agricultura'), asignado al sector SERIO 'Agricultura'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 111 ('Agricultura') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Agricultura'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
1119,RAMA,Otros cultivos,111,Agricultura,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Hereda la clasificación de su subsector padre SCIAN 111 ('Agricultura'), asignado al sector SERIO 'Agricultura'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 111 ('Agricultura') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Agricultura'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
1121,RAMA,Explotación de bovinos,112,Cría y explotación de animales,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Hereda la clasificación de su subsector padre SCIAN 112 ('Cría y explotación de animales'), asignado al sector SERIO 'Cría y explotación de animales'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 112 ('Cría y explotación de animales') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Cría y explotación de animales'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
1122,RAMA,Explotación de porcinos,112,Cría y explotación de animales,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Hereda la clasificación de su subsector padre SCIAN 112 ('Cría y explotación de animales'), asignado al sector SERIO 'Cría y explotación de animales'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 112 ('Cría y explotación de animales') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Cría y explotación de animales'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
1123,RAMA,Explotación avícola,112,Cría y explotación de animales,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Hereda la clasificación de su subsector padre SCIAN 112 ('Cría y explotación de animales'), asignado al sector SERIO 'Cría y explotación de animales'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 112 ('Cría y explotación de animales') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Cría y explotación de animales'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
1124,RAMA,Explotación de ovinos y caprinos,112,Cría y explotación de animales,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Hereda la clasificación de su subsector padre SCIAN 112 ('Cría y explotación de animales'), asignado al sector SERIO 'Cría y explotación de animales'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 112 ('Cría y explotación de animales') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Cría y explotación de animales'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
1125,RAMA,Acuicultura,112,Cría y explotación de animales,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Hereda la clasificación de su subsector padre SCIAN 112 ('Cría y explotación de animales'), asignado al sector SERIO 'Cría y explotación de animales'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 112 ('Cría y explotación de animales') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Cría y explotación de animales'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
1129,RAMA,Explotación de otros animales,112,Cría y explotación de animales,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Hereda la clasificación de su subsector padre SCIAN 112 ('Cría y explotación de animales'), asignado al sector SERIO 'Cría y explotación de animales'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 112 ('Cría y explotación de animales') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Cría y explotación de animales'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
1131,RAMA,Silvicultura,113,Aprovechamiento forestal,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Hereda la clasificación de su subsector padre SCIAN 113 ('Aprovechamiento forestal'), asignado al sector SERIO 'Aprovechamiento forestal'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 113 ('Aprovechamiento forestal') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Aprovechamiento forestal'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
1132,RAMA,Viveros forestales y recolección de productos forestales,113,Aprovechamiento forestal,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Hereda la clasificación de su subsector padre SCIAN 113 ('Aprovechamiento forestal'), asignado al sector SERIO 'Aprovechamiento forestal'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 113 ('Aprovechamiento forestal') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Aprovechamiento forestal'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
1133,RAMA,Aprovechamiento de árboles,113,Aprovechamiento forestal,OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Hereda la clasificación de su subsector padre SCIAN 113 ('Aprovechamiento forestal'), asignado al sector SERIO 'Aprovechamiento forestal'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 113 ('Aprovechamiento forestal') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Aprovechamiento forestal'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
1141,RAMA,Pesca,114,"Pesca, caza y captura",OFFICIAL,VERIFIED,LOW,EXACT,Crosswalk Maestro SCIAN→SERIO v0.1 (autoría Lattise),"Hereda la clasificación de su subsector padre SCIAN 114 ('Pesca, caza y captura'), asignado al sector SERIO 'Pesca, caza y captura'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 114 ('Pesca, caza y captura') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Pesca, caza y captura'). No requiere inferencia económica adicional.",,,Confianza original en Crosswalk Maestro v0.1: ALTA.,v0.1,SCIAN-2018 (base SERIO); estructura verificada contra fixture INEGI SCIAN-2023 — ver README de spatial/warehouse,SERIO-78-2018,,scripts/build_crosswalk_maestro.py
