"nivel_scian","codigo_scian","descripcion_scian","sector_serio","confianza","requiere_revision","justificacion"
"subsector","624","Otros servicios de asistencia social","Otros servicios de asistencia social","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 624 ('Otros servicios de asistencia social') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Otros servicios de asistencia social'). No requiere inferencia económica adicional."
"subsector","711","Servicios artísticos, culturales y deportivos, y otros servicios relacionados","Servicios artísticos, culturales y deportivos, y otros servicios relacionados","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 711 ('Servicios artísticos, culturales y deportivos, y otros servicios relacionados') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Servicios artísticos, culturales y deportivos, y otros servicios relacionados'). No requiere inferencia económica adicional."
"subsector","712","Museos, sitios históricos, zoológicos y similares","Museos, sitios históricos, zoológicos y similares","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 712 ('Museos, sitios históricos, zoológicos y similares') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Museos, sitios históricos, zoológicos y similares'). No requiere inferencia económica adicional."
"subsector","713","Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativos","Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativos","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 713 ('Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativos') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Servicios de entretenimiento en instalaciones recreativas y otros servicios recreativos'). No requiere inferencia económica adicional."
"subsector","721","Servicios de alojamiento temporal","Servicios de alojamiento temporal","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 721 ('Servicios de alojamiento temporal') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Servicios de alojamiento temporal'). No requiere inferencia económica adicional."
"subsector","722","Servicios de preparación de alimentos y bebidas","Servicios de preparación de alimentos y bebidas","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 722 ('Servicios de preparación de alimentos y bebidas') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Servicios de preparación de alimentos y bebidas'). No requiere inferencia económica adicional."
"subsector","811","Servicios de reparación y mantenimiento","Servicios de reparación y mantenimiento","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 811 ('Servicios de reparación y mantenimiento') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Servicios de reparación y mantenimiento'). No requiere inferencia económica adicional."
"subsector","812","Servicios personales","Servicios personales","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 812 ('Servicios personales') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Servicios personales'). No requiere inferencia económica adicional."
"subsector","813","Asociaciones y organizaciones","Asociaciones y organizaciones","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 813 ('Asociaciones y organizaciones') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Asociaciones y organizaciones'). No requiere inferencia económica adicional."
"subsector","814","Hogares con empleados domésticos","Hogares con empleados domésticos","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 814 ('Hogares con empleados domésticos') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Hogares con empleados domésticos'). No requiere inferencia económica adicional."
"subsector","931","Actividades legislativas, gubernamentales y de impartición de justicia","Actividades legislativas, gubernamentales y de impartición de justicia","ALTA","NO","Coincidencia directa y exacta uno a uno: el subsector SCIAN 931 ('Actividades legislativas, gubernamentales y de impartición de justicia') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Actividades legislativas, gubernamentales y de impartición de justicia'). No requiere inferencia económica adicional."
"subsector","932","Organismos internacionales y extraterritoriales","Actividades legislativas, gubernamentales y de impartición de justicia","MEDIA","SI","La actualización SCIAN separó 'Organismos internacionales y extraterritoriales' como subsector independiente (932); en SCIAN base 2018 -que es la base del modelo SERIO- esta actividad estaba integrada en el subsector único 931 ('Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales'), que es como aparece en el catálogo de 78 sectores SERIO. Se marca para revisión por el mismo motivo de vigencia de catálogo que en los casos 513 y 516."
"rama","1111","Cultivo de semillas oleaginosas, leguminosas y cereales","Agricultura","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 111 ('Agricultura'), asignado al sector SERIO 'Agricultura'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 111 ('Agricultura') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Agricultura'). No requiere inferencia económica adicional."
"rama","1112","Cultivo de hortalizas","Agricultura","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 111 ('Agricultura'), asignado al sector SERIO 'Agricultura'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 111 ('Agricultura') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Agricultura'). No requiere inferencia económica adicional."
"rama","1113","Cultivo de frutales y nueces","Agricultura","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 111 ('Agricultura'), asignado al sector SERIO 'Agricultura'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 111 ('Agricultura') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Agricultura'). No requiere inferencia económica adicional."
"rama","1114","Cultivo en invernaderos y otras estructuras agrícolas protegidas, y floricultura","Agricultura","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 111 ('Agricultura'), asignado al sector SERIO 'Agricultura'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 111 ('Agricultura') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Agricultura'). No requiere inferencia económica adicional."
"rama","1119","Otros cultivos","Agricultura","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 111 ('Agricultura'), asignado al sector SERIO 'Agricultura'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 111 ('Agricultura') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Agricultura'). No requiere inferencia económica adicional."
"rama","1121","Explotación de bovinos","Cría y explotación de animales","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 112 ('Cría y explotación de animales'), asignado al sector SERIO 'Cría y explotación de animales'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 112 ('Cría y explotación de animales') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Cría y explotación de animales'). No requiere inferencia económica adicional."
"rama","1122","Explotación de porcinos","Cría y explotación de animales","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 112 ('Cría y explotación de animales'), asignado al sector SERIO 'Cría y explotación de animales'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 112 ('Cría y explotación de animales') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Cría y explotación de animales'). No requiere inferencia económica adicional."
"rama","1123","Explotación avícola","Cría y explotación de animales","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 112 ('Cría y explotación de animales'), asignado al sector SERIO 'Cría y explotación de animales'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 112 ('Cría y explotación de animales') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Cría y explotación de animales'). No requiere inferencia económica adicional."
"rama","1124","Explotación de ovinos y caprinos","Cría y explotación de animales","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 112 ('Cría y explotación de animales'), asignado al sector SERIO 'Cría y explotación de animales'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 112 ('Cría y explotación de animales') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Cría y explotación de animales'). No requiere inferencia económica adicional."
"rama","1125","Acuicultura","Cría y explotación de animales","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 112 ('Cría y explotación de animales'), asignado al sector SERIO 'Cría y explotación de animales'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 112 ('Cría y explotación de animales') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Cría y explotación de animales'). No requiere inferencia económica adicional."
"rama","1129","Explotación de otros animales","Cría y explotación de animales","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 112 ('Cría y explotación de animales'), asignado al sector SERIO 'Cría y explotación de animales'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 112 ('Cría y explotación de animales') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Cría y explotación de animales'). No requiere inferencia económica adicional."
"rama","1131","Silvicultura","Aprovechamiento forestal","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 113 ('Aprovechamiento forestal'), asignado al sector SERIO 'Aprovechamiento forestal'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 113 ('Aprovechamiento forestal') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Aprovechamiento forestal'). No requiere inferencia económica adicional."
"rama","1132","Viveros forestales y recolección de productos forestales","Aprovechamiento forestal","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 113 ('Aprovechamiento forestal'), asignado al sector SERIO 'Aprovechamiento forestal'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 113 ('Aprovechamiento forestal') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Aprovechamiento forestal'). No requiere inferencia económica adicional."
"rama","1133","Aprovechamiento de árboles","Aprovechamiento forestal","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 113 ('Aprovechamiento forestal'), asignado al sector SERIO 'Aprovechamiento forestal'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 113 ('Aprovechamiento forestal') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Aprovechamiento forestal'). No requiere inferencia económica adicional."
"rama","1141","Pesca","Pesca, caza y captura","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 114 ('Pesca, caza y captura'), asignado al sector SERIO 'Pesca, caza y captura'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 114 ('Pesca, caza y captura') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Pesca, caza y captura'). No requiere inferencia económica adicional."
"rama","1142","Caza y captura","Pesca, caza y captura","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 114 ('Pesca, caza y captura'), asignado al sector SERIO 'Pesca, caza y captura'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 114 ('Pesca, caza y captura') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Pesca, caza y captura'). No requiere inferencia económica adicional."
"rama","1151","Servicios relacionados con la agricultura","Servicios relacionados con las actividades agropecuarias y forestales","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 115 ('Servicios relacionados con las actividades agropecuarias y forestales'), asignado al sector SERIO 'Servicios relacionados con las actividades agropecuarias y forestales'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 115 ('Servicios relacionados con las actividades agropecuarias y forestales') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Servicios relacionados con las actividades agropecuarias y forestales'). No requiere inferencia económica adicional."
"rama","1152","Servicios relacionados con la cría y explotación de animales","Servicios relacionados con las actividades agropecuarias y forestales","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 115 ('Servicios relacionados con las actividades agropecuarias y forestales'), asignado al sector SERIO 'Servicios relacionados con las actividades agropecuarias y forestales'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 115 ('Servicios relacionados con las actividades agropecuarias y forestales') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Servicios relacionados con las actividades agropecuarias y forestales'). No requiere inferencia económica adicional."
"rama","1153","Servicios relacionados con el aprovechamiento forestal","Servicios relacionados con las actividades agropecuarias y forestales","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 115 ('Servicios relacionados con las actividades agropecuarias y forestales'), asignado al sector SERIO 'Servicios relacionados con las actividades agropecuarias y forestales'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 115 ('Servicios relacionados con las actividades agropecuarias y forestales') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Servicios relacionados con las actividades agropecuarias y forestales'). No requiere inferencia económica adicional."
"rama","2111","Extracción de petróleo y gas","Extracción de petróleo y gas","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 211 ('Extracción de petróleo y gas'), asignado al sector SERIO 'Extracción de petróleo y gas'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 211 ('Extracción de petróleo y gas') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Extracción de petróleo y gas'). No requiere inferencia económica adicional."
"rama","2121","Minería de carbón mineral","Minería de minerales metálicos y no metálicos, excepto petróleo y gas","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 212 ('Minería de minerales metálicos y no metálicos, excepto petróleo y gas'), asignado al sector SERIO 'Minería de minerales metálicos y no metálicos, excepto petróleo y gas'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 212 ('Minería de minerales metálicos y no metálicos, excepto petróleo y gas') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Minería de minerales metálicos y no metálicos, excepto petróleo y gas'). No requiere inferencia económica adicional."
"rama","2122","Minería de minerales metálicos","Minería de minerales metálicos y no metálicos, excepto petróleo y gas","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 212 ('Minería de minerales metálicos y no metálicos, excepto petróleo y gas'), asignado al sector SERIO 'Minería de minerales metálicos y no metálicos, excepto petróleo y gas'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 212 ('Minería de minerales metálicos y no metálicos, excepto petróleo y gas') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Minería de minerales metálicos y no metálicos, excepto petróleo y gas'). No requiere inferencia económica adicional."
"rama","2123","Minería de minerales no metálicos","Minería de minerales metálicos y no metálicos, excepto petróleo y gas","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 212 ('Minería de minerales metálicos y no metálicos, excepto petróleo y gas'), asignado al sector SERIO 'Minería de minerales metálicos y no metálicos, excepto petróleo y gas'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 212 ('Minería de minerales metálicos y no metálicos, excepto petróleo y gas') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Minería de minerales metálicos y no metálicos, excepto petróleo y gas'). No requiere inferencia económica adicional."
"rama","2131","Servicios relacionados con la minería","Servicios relacionados con la minería","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 213 ('Servicios relacionados con la minería'), asignado al sector SERIO 'Servicios relacionados con la minería'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 213 ('Servicios relacionados con la minería') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Servicios relacionados con la minería'). No requiere inferencia económica adicional."
"rama","2211","Generación, transmisión, distribución y comercialización de energía eléctrica","Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 221 ('Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final'), asignado al sector SERIO 'Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 221 ('Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final'). No requiere inferencia económica adicional."
"rama","2212","Suministro de gas natural por ductos al consumidor final","Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 221 ('Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final'), asignado al sector SERIO 'Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 221 ('Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final'). No requiere inferencia económica adicional."
"rama","2213","Captación, tratamiento y suministro de agua","Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 221 ('Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final'), asignado al sector SERIO 'Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 221 ('Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final'). No requiere inferencia económica adicional."
"rama","2361","Edificación residencial","Edificación","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 236 ('Edificación'), asignado al sector SERIO 'Edificación'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 236 ('Edificación') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Edificación'). No requiere inferencia económica adicional."
"rama","2362","Edificación no residencial","Edificación","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 236 ('Edificación'), asignado al sector SERIO 'Edificación'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 236 ('Edificación') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Edificación'). No requiere inferencia económica adicional."
"rama","2371","Construcción de obras para el suministro de agua, petróleo, gas, energía eléctrica y telecomunicaciones","Construcción de obras de ingeniería civil","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 237 ('Construcción de obras de ingeniería civil'), asignado al sector SERIO 'Construcción de obras de ingeniería civil'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 237 ('Construcción de obras de ingeniería civil') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Construcción de obras de ingeniería civil'). No requiere inferencia económica adicional."
"rama","2372","División de terrenos y construcción de obras de urbanización","Construcción de obras de ingeniería civil","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 237 ('Construcción de obras de ingeniería civil'), asignado al sector SERIO 'Construcción de obras de ingeniería civil'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 237 ('Construcción de obras de ingeniería civil') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Construcción de obras de ingeniería civil'). No requiere inferencia económica adicional."
"rama","2373","Construcción de vías de comunicación","Construcción de obras de ingeniería civil","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 237 ('Construcción de obras de ingeniería civil'), asignado al sector SERIO 'Construcción de obras de ingeniería civil'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 237 ('Construcción de obras de ingeniería civil') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Construcción de obras de ingeniería civil'). No requiere inferencia económica adicional."
"rama","2379","Otras construcciones de ingeniería civil","Construcción de obras de ingeniería civil","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 237 ('Construcción de obras de ingeniería civil'), asignado al sector SERIO 'Construcción de obras de ingeniería civil'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 237 ('Construcción de obras de ingeniería civil') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Construcción de obras de ingeniería civil'). No requiere inferencia económica adicional."
"rama","2381","Cimentaciones, montaje de estructuras prefabricadas y trabajos en exteriores","Trabajos especializados para la construcción","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 238 ('Trabajos especializados para la construcción'), asignado al sector SERIO 'Trabajos especializados para la construcción'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 238 ('Trabajos especializados para la construcción') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Trabajos especializados para la construcción'). No requiere inferencia económica adicional."
"rama","2382","Instalaciones y equipamiento en construcciones","Trabajos especializados para la construcción","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 238 ('Trabajos especializados para la construcción'), asignado al sector SERIO 'Trabajos especializados para la construcción'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 238 ('Trabajos especializados para la construcción') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Trabajos especializados para la construcción'). No requiere inferencia económica adicional."
"rama","2383","Trabajos de acabados en edificaciones","Trabajos especializados para la construcción","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 238 ('Trabajos especializados para la construcción'), asignado al sector SERIO 'Trabajos especializados para la construcción'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 238 ('Trabajos especializados para la construcción') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Trabajos especializados para la construcción'). No requiere inferencia económica adicional."
"rama","2389","Otros trabajos especializados para la construcción","Trabajos especializados para la construcción","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 238 ('Trabajos especializados para la construcción'), asignado al sector SERIO 'Trabajos especializados para la construcción'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 238 ('Trabajos especializados para la construcción') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Trabajos especializados para la construcción'). No requiere inferencia económica adicional."
"rama","3111","Elaboración de alimentos balanceados para animales","Industria alimentaria","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 311 ('Industria alimentaria'), asignado al sector SERIO 'Industria alimentaria'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 311 ('Industria alimentaria') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Industria alimentaria'). No requiere inferencia económica adicional."
"rama","3112","Molienda de granos y de semillas y obtención de aceites y grasas","Industria alimentaria","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 311 ('Industria alimentaria'), asignado al sector SERIO 'Industria alimentaria'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 311 ('Industria alimentaria') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Industria alimentaria'). No requiere inferencia económica adicional."
"rama","3113","Elaboración de azúcares, chocolates, dulces y similares","Industria alimentaria","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 311 ('Industria alimentaria'), asignado al sector SERIO 'Industria alimentaria'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 311 ('Industria alimentaria') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Industria alimentaria'). No requiere inferencia económica adicional."
"rama","3114","Conservación de frutas, verduras, guisos y otros alimentos preparados","Industria alimentaria","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 311 ('Industria alimentaria'), asignado al sector SERIO 'Industria alimentaria'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 311 ('Industria alimentaria') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Industria alimentaria'). No requiere inferencia económica adicional."
"rama","3115","Elaboración de productos lácteos","Industria alimentaria","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 311 ('Industria alimentaria'), asignado al sector SERIO 'Industria alimentaria'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 311 ('Industria alimentaria') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Industria alimentaria'). No requiere inferencia económica adicional."
"rama","3116","Matanza, empacado y procesamiento de carne de ganado, aves y otros animales comestibles","Industria alimentaria","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 311 ('Industria alimentaria'), asignado al sector SERIO 'Industria alimentaria'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 311 ('Industria alimentaria') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Industria alimentaria'). No requiere inferencia económica adicional."
"rama","3117","Preparación y envasado de pescados y mariscos","Industria alimentaria","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 311 ('Industria alimentaria'), asignado al sector SERIO 'Industria alimentaria'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 311 ('Industria alimentaria') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Industria alimentaria'). No requiere inferencia económica adicional."
"rama","3118","Elaboración de productos de panadería y tortillas","Industria alimentaria","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 311 ('Industria alimentaria'), asignado al sector SERIO 'Industria alimentaria'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 311 ('Industria alimentaria') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Industria alimentaria'). No requiere inferencia económica adicional."
"rama","3119","Otras industrias alimentarias","Industria alimentaria","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 311 ('Industria alimentaria'), asignado al sector SERIO 'Industria alimentaria'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 311 ('Industria alimentaria') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Industria alimentaria'). No requiere inferencia económica adicional."
"rama","3121","Industria de las bebidas","Industria de las bebidas y del tabaco","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 312 ('Industria de las bebidas y del tabaco'), asignado al sector SERIO 'Industria de las bebidas y del tabaco'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 312 ('Industria de las bebidas y del tabaco') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Industria de las bebidas y del tabaco'). No requiere inferencia económica adicional."
"rama","3122","Industria del tabaco","Industria de las bebidas y del tabaco","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 312 ('Industria de las bebidas y del tabaco'), asignado al sector SERIO 'Industria de las bebidas y del tabaco'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 312 ('Industria de las bebidas y del tabaco') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Industria de las bebidas y del tabaco'). No requiere inferencia económica adicional."
"rama","3131","Preparación e hilado de fibras textiles, y fabricación de hilos","Fabricación de insumos textiles y acabado de textiles","ALTA","NO","Hereda la clasificación de su subsector padre SCIAN 313 ('Fabricación de insumos textiles y acabado de textiles'), asignado al sector SERIO 'Fabricación de insumos textiles y acabado de textiles'. Fundamento del subsector padre: Coincidencia directa y exacta uno a uno: el subsector SCIAN 313 ('Fabricación de insumos textiles y acabado de textiles') es, literalmente, uno de los 78 sectores oficiales del modelo SERIO ('Fabricación de insumos textiles y acabado de textiles'). No requiere inferencia económica adicional."
